datetime,open,high,low,close,volume
2025-07-29 23:00:00,148.474,148.525,148.413,148.42,1519
2025-07-30 00:00:00,148.422,148.447,148.036,148.055,6523
2025-07-30 01:00:00,148.054,148.165,147.945,148.146,6587
2025-07-30 02:00:00,148.143,148.152,148.031,148.047,3889
2025-07-30 03:00:00,148.045,148.045,147.844,147.976,4143
2025-07-30 04:00:00,147.974,148.171,147.97,148.157,3768
2025-07-30 05:00:00,148.158,148.171,147.855,148.032,5548
2025-07-30 06:00:00,148.034,148.132,147.859,147.899,6747
2025-07-30 07:00:00,147.906,148.083,147.802,148.083,7031
2025-07-30 08:00:00,148.086,148.118,147.923,147.963,6159
2025-07-30 09:00:00,147.962,148.071,147.853,148.037,5483
2025-07-30 10:00:00,148.041,148.291,147.981,148.172,5755
2025-07-30 11:00:00,148.17,148.36,148.111,148.31,5424
2025-07-30 12:00:00,148.309,148.884,148.26,148.85,10780
2025-07-30 13:00:00,148.852,149.104,148.831,149.053,10237
2025-07-30 14:00:00,149.054,149.058,148.873,148.928,7933
2025-07-30 15:00:00,148.929,149.112,148.844,149.076,7064
2025-07-30 16:00:00,149.071,149.132,148.928,148.934,4471
2025-07-30 17:00:00,148.93,148.932,148.757,148.757,5243
2025-07-30 18:00:00,148.736,149.353,148.523,149.349,13863
2025-07-30 19:00:00,149.345,149.437,149.225,149.412,9421
2025-07-30 20:00:00,149.41,149.491,149.363,149.486,2456
2025-07-30 21:00:00,149.453,149.454,149.404,149.417,934
2025-07-30 22:00:00,149.449,149.454,149.296,149.314,2699
2025-07-30 23:00:00,149.312,149.395,149.208,149.216,3125
2025-07-31 00:00:00,149.221,149.389,149.177,149.305,6135
2025-07-31 01:00:00,149.304,149.338,148.964,148.977,6141
2025-07-31 02:00:00,148.976,149.001,148.644,148.833,5982
2025-07-31 03:00:00,148.829,148.919,148.588,148.746,6405
2025-07-31 04:00:00,148.747,148.961,148.735,148.887,5056
2025-07-31 05:00:00,148.888,148.927,148.739,148.784,5328
2025-07-31 06:00:00,148.793,149.095,148.681,148.877,9194
2025-07-31 07:00:00,148.875,149.72,148.856,149.398,10144
2025-07-31 08:00:00,149.396,149.701,149.297,149.632,8180
2025-07-31 09:00:00,149.64,149.959,149.623,149.955,6245
2025-07-31 10:00:00,149.956,150.045,149.874,149.944,6216
2025-07-31 11:00:00,149.941,150.105,149.812,149.876,7569
2025-07-31 12:00:00,149.883,150.257,149.813,150.189,9761
2025-07-31 13:00:00,150.188,150.584,150.179,150.566,9356
2025-07-31 14:00:00,150.571,150.636,150.378,150.478,11011
2025-07-31 15:00:00,150.476,150.604,150.348,150.601,9208
2025-07-31 16:00:00,150.606,150.788,150.595,150.687,6478
2025-07-31 17:00:00,150.686,150.721,150.555,150.664,6110
2025-07-31 18:00:00,150.667,150.789,150.666,150.754,5596
2025-07-31 19:00:00,150.76,150.804,150.69,150.799,4729
2025-07-31 20:00:00,150.792,150.84,150.74,150.795,2337
2025-07-31 21:00:00,150.711,150.72,150.651,150.669,797
2025-07-31 22:00:00,150.676,150.801,150.67,150.739,2728
2025-07-31 23:00:00,150.737,150.88,150.637,150.812,4205
2025-08-01 00:00:00,150.805,150.891,150.594,150.736,7471
2025-08-01 01:00:00,150.737,150.917,150.631,150.906,7146
